upload_status,product_id,shop_name,link,shop_img,shop_product_name,product_price,exclude_vat,intl_shipment,duty_percent,import_duty,total_price,curr,kor_price,delivery_method,item_type,product_name,card_title,profit,sale_price,delivery_price,discount,brand,origin,tag1,tag2,tag3,item_cat,custom_cat1,custom_cat2,opt_color
Done,B75806,consortium,https://www.consortium.co.uk/adidas-originals-samba-og-cloud-white-core-black-core-granite-b75806.html,,adidas-originals-samba-og-cloud-white-core-black-core-granite-b75806,88.99,1.2,20.83,0,0,94.99,GBP,"₩161,000",site_only,SHOES,아디다스 삼바OG 화이트,아디다스 삼바OG 화이트 B75806,1.2,"174,000","19,000",5,아디다스,영국,기본템,화이트스니커즈,제니운동화,50000788,아디다스,스니커즈,화이트
Done,B75807,consortium,https://www.consortium.co.uk/adidas-originals-samba-og-core-black-cloud-white-gum-5-b75807.html,,adidas-originals-samba-og-core-black-cloud-white-gum-5-b75807,88.99,1.2,20.83,0,0,94.99,GBP,"₩161,000",site_only,SHOES,아디다스 삼바OG 블랙,아디다스 삼바OG 블랙 B75807,1.2,"174,000","19,000",5,아디다스,영국,기본템,블랙스니커즈,제니운동화,50000788,아디다스,스니커즈,블랙
Done,GW3159,consortium,https://www.consortium.co.uk/adidas-skateboarding-samba-adv-core-black-cloud-white-gold-metallic-gw3159.html,,adidas-skateboarding-samba-adv-core-black-cloud-white-gold-metallic-gw3159,88.99,1.2,20.83,0,0,94.99,GBP,"₩161,000",site_only,SHOES,아디다스 삼바ADV 블랙코어,아디다스 삼바ADV 블랙코어 GW3159,1.2,"174,000","19,000",5,아디다스,영국,기본템,블랙스니커즈,가을슈즈,50000788,아디다스,스니커즈,블랙
Done,GZ8477,consortium,https://www.consortium.co.uk/adidas-skateboarding-samba-adv-footwear-white-core-black-gum-5-gz8477.html,,adidas-skateboarding-samba-adv-footwear-white-core-black-gum-5-gz8477,88.99,1.2,20.83,0,0,94.99,GBP,"₩161,000",site_only,SHOES,아디다스 삼바ADV 화이트,아디다스 삼바ADV 화이트 GZ8477,1.2,"174,000","19,000",5,아디다스,영국,기본템,화이트스니커즈,가을슈즈,50000788,아디다스,스니커즈,화이트
Done,DB3021,consortium,https://www.consortium.co.uk/adidas-originals-handball-spezial-core-black-cloud-white-gum-5-db3021.html,,adidas-originals-handball-spezial-core-black-cloud-white-gum-5-db3021,74.99,1.2,20.83,0,0,83.32,GBP,"₩142,000",site_only,SHOES,아디다스 스페지알 블랙코어,아디다스 스페지알 블랙코어 DB3021,1.2,"151,000","19,000",5,아디다스,영국,기본템,김나영픽,가을슈즈,50000788,아디다스,스니커즈,블랙
Done,ID2056,consortium,https://www.consortium.co.uk/adidas-originals-samba-og-night-navy-cream-white-gum-5-id2056.html,,adidas-originals-samba-og-night-navy-cream-white-gum-5-id2056,89.99,1.2,20.83,0,0,95.82,GBP,"₩163,000",site_only,SHOES,아디다스 삼바OG 나이트 네이비,아디다스 삼바OG 나이트 네이비 ID2056,1.2,"177,000","19,000",5,아디다스,영국,고프코어,가을신상,블록코어,50000788,아디다스,스니커즈,네이비
Done,IE7013,consortium,https://www.consortium.co.uk/adidas-originals-samba-og-aluminium-chalk-white-wonder-beige-ie7013.html,,adidas-originals-samba-og-aluminium-chalk-white-wonder-beige-ie7013,89.99,1.2,20.83,0,0,95.82,GBP,"₩163,000",site_only,SHOES,아디다스 삼바OG 알루미늄,아디다스 삼바OG 알루미늄 IE7013,1.2,"177,000","19,000",5,아디다스,영국,가을신상,데일리슈즈,기본화,50000788,아디다스,스니커즈,아이보리
Done,BD7633,consortium,https://www.consortium.co.uk/adidas-originals-handball-spezial-collegiate-navy-clear-sky-gum-5-bd7633.html,,adidas-originals-handball-spezial-collegiate-navy-clear-sky-gum-5-bd7633,78.99,1.2,20.83,0,0,86.66,GBP,"₩147,000",site_only,SHOES,아디다스 스페지알 컬리지에이트 네이비,아디다스 스페지알 컬리지에이트 네이비 BD7633,1.2,"157,000","19,000",5,아디다스,영국,인기템,데일리슈즈,가을슈즈,50000788,아디다스,스니커즈,네이비
Done,IG9980,consortium,https://www.consortium.co.uk/adidas-originals-gazelle-indoor-shadow-maroon-semi-lucid-blue-simple-brown-ig9980.html,,adidas-originals-gazelle-indoor-shadow-maroon-semi-lucid-blue-simple-brown-ig9980,69.99,1.2,20.83,0,0,79.16,GBP,"₩135,000",site_only,SHOES,아디다스 가젤 인도어 쉐도우 마룬,아디다스 가젤 인도어 쉐도우 마룬 IG9980,1.2,"143,000","19,000",5,아디다스,영국,가을슈즈,포인트아이템,고프코어,50000788,아디다스,스니커즈,브라운
Done,FV1227,consortium,https://www.consortium.co.uk/adidas-originals-handball-spezial-scarlet-footwear-white-gum-5-fv1227.html,,adidas-originals-handball-spezial-scarlet-footwear-white-gum-5-fv1227,84.99,1.2,20.83,0,0,91.66,GBP,"₩156,000",site_only,SHOES,아디다스 스페지알 스칼렛,아디다스 스페지알 스칼렛 FV1227,1.2,"168,000","19,000",5,아디다스,영국,가을신상,포인트아이템,고프코어,50003822,아디다스,스니커즈,레드
Writing,IF6564,consortium,링크,,adidas-originals-handball-spezial-light-blue-wonder-clay-footwear-white-if6564,83.99,1.2,20.83,0,0,90.82,GBP,"₩154,000",site_only,SHOES,아디다스 스페지알 라이트 블루,아디다스 스페지알 라이트 블루 IF6564,1.2,"166,000","19,000",5,아디다스,영국,포인트아이템,귀여운스니커즈,우먼스,50003822,아디다스,스니커즈,스카이블루
Writing,H06271,consortium,링크,,adidas-originals-gazelle-indoor-collegiate-navy-collegiate-navy-collegiate-navy-h06271,79.99,1.2,20.83,0,0,87.49,GBP,"₩149,000",site_only,SHOES,아디다스 가젤 인도어 컬리지에이트 네이비,아디다스 가젤 인도어 컬리지에이트 네이비 H06271,1.2,"160,000","19,000",5,아디다스,영국,고프코어,편한신발,실물깡패,50000788,아디다스,스니커즈,네이비
Writing,H06269,consortium,링크,,adidas-originals-gazelle-indoor-mesa-mesa-mesa-h06269,79.99,1.2,20.83,0,0,87.49,GBP,"₩149,000",site_only,SHOES,아디다스 가젤 인도어 메사,아디다스 가젤 인도어 메사 H06269,1.2,"160,000","19,000",5,아디다스,영국,포인트아이템,가을슈즈,인기아이템,50000788,아디다스,스니커즈,브라운
Writing,GY7370,consortium,링크,,adidas-originals-gazelle-bronze-strata-pantone-gum-gy7370,78.99,1.2,20.83,0,0,86.66,GBP,"₩147,000",site_only,SHOES,아디다스 가젤 브론즈,아디다스 가젤 브론즈 GY7370,1.2,"157,000","19,000",5,아디다스,영국,가을슈즈,무난한,포인트아이템,50000788,아디다스,스니커즈,브라운
Writing,ID2109,consortium,링크,,adidas-originals-state-series-ma-massachusetts-halo-blue-core-fuchsia-footwear-white-id2109,89.99,1.2,20.83,0,0,95.82,GBP,"₩163,000",site_only,SHOES,아디다스 스테이트 메사추세스 할로브러쉬,아디다스 스테이트 메사추세스 할로브러쉬 ID2109,1.2,"177,000","19,000",5,아디다스,영국,귀여운스니커즈,가을신상,위시리스트,50003822,아디다스,스니커즈,핑크
Writing,ID2055,consortium,링크,,adidas-originals-samba-og-core-white-halo-blue-gum-5-id2055,89.99,1.2,20.83,0,0,95.82,GBP,"₩163,000",site_only,SHOES,아디다스 삼바OG 할로 블루,아디다스 삼바OG 할로 블루 ID2055,1.2,"177,000","19,000",5,아디다스,영국,데일리슈즈,신상품,베이직스니커즈,50000788,아디다스,스니커즈,스카이블루
Writing,IG5003,consortium,링크,,adidas-originals-gazelle-85-clear-sky-footwear-white-gold-metallic-ig5003,78.99,1.2,20.83,0,0,86.66,GBP,"₩147,000",site_only,SHOES,아디다스 가젤85 라이트 블루,아디다스 가젤85 라이트 블루 IG5003,1.2,"157,000","19,000",5,아디다스,영국,깔끔한신발,데일리슈즈,무난한,50003822,아디다스,스니커즈,스카이블루
Writing,IG9653,consortium,링크,,adidas-originals-gazelle-bold-super-pop-cloud-white-core-white-ig9653,88.99,1.2,20.83,0,0,94.99,GBP,"₩161,000",site_only,SHOES,아디다스 가젤 볼드 슈퍼팝,아디다스 가젤 볼드 슈퍼팝 IG9653,1.2,"174,000","19,000",5,아디다스,영국,포인트아이템,귀여운스니커즈,핑크아이템,50003822,아디다스,스니커즈,핑크
Writing,IE7012,consortium,링크,,adidas-originals-samba-og-shadow-violet-carbon-cream-white-ie7012,89.99,1.2,20.83,0,0,95.82,GBP,"₩163,000",site_only,SHOES,아디다스 삼바OG 쉐도우 바이올렛,아디다스 삼바OG 쉐도우 바이올렛 IE7012,1.2,"177,000","19,000",5,아디다스,영국,포인트아이템,가을신상,위시리스트,50000788,아디다스,스니커즈,
Writing,IE7011,consortium,링크,,adidas-originals-samba-og-silver-green-chalk-white-gum-ie7011,89.99,1.2,20.83,0,0,95.82,GBP,"₩163,000",site_only,SHOES,아디다스 삼바OG 실버 그린,아디다스 삼바OG 실버 그린 IE7011,1.2,"177,000","19,000",5,아디다스,영국,포인트아이템,가을신상,위시리스트,50000788,아디다스,스니커즈,
Writing,GV7615,consortium,링크,,adidas-originals-parley-superstar-footwear-white-off-white-white-tint-gv7615,54.99,1.2,20.83,0,0,66.66,GBP,"₩113,000",site_only,SHOES,아디다스 팔리 슈퍼스타 오프 화이트,아디다스 팔리 슈퍼스타 오프 화이트 GV7615,1.2,"117,000","19,000",5,아디다스,영국,귀여운스니커즈,고프코어,블록코어,50000788,아디다스,스니커즈,
Writing,HP9164,consortium,링크,,adidas-skateboarding-nora-core-black-footwear-white-gold-metallic-hp9164,79.99,1.2,20.83,0,0,87.49,GBP,"₩149,000",site_only,SHOES,아디다스 노라 코어블랙,아디다스 노라 코어블랙 HP9164,1.2,"160,000","19,000",5,아디다스,영국,데일리슈즈,오늘뭐신지,꾸안꾸,50000788,아디다스,스니커즈,
Writing,IE4230,consortium,링크,,adidas-originals-country-og-matte-silver-bright-blue-footwear-white-ie4230,89.99,1.2,20.83,0,0,95.82,GBP,"₩163,000",site_only,SHOES,아디다스 컨트리OG 실버,아디다스 컨트리OG 실버 IE4230,1.2,"177,000","19,000",5,아디다스,영국,포인트아이템,실버템,차정원슈즈,50000788,아디다스,스니커즈,
Writing,GY7396,consortium,링크,,adidas-originals-tobacco-pantone-mesa-gum-gy7396,78.99,1.2,20.83,0,0,86.66,GBP,"₩147,000",site_only,SHOES,, GY7396,1.2,"157,000","19,000",5,아디다스,영국,,,,,,,
Writing,GX6939,consortium,링크,,adidas-originals-tobacco-gruen-collegiate-orange-fox-orange-gum-gx6939,53.99,1.2,20.83,0,0,65.82,GBP,"₩112,000",site_only,SHOES,, GX6939,1.2,"115,000","19,000",5,아디다스,영국,,,,,,,
Writing,GX6940,consortium,링크,,adidas-originals-tobacco-gruen-cream-white-bliss-light-brown-gx6940,64.99,1.2,20.83,0,0,74.99,GBP,"₩127,000",site_only,SHOES,, GX6940,1.2,"133,000","19,000",5,아디다스,영국,,,,,,,
Writing,ID4574,consortium,링크,,adidas-originals-bermuda-bold-gold-almost-yellow-premium-yellow-id4574,83.99,1.2,20.83,0,0,90.82,GBP,"₩154,000",site_only,SHOES,, ID4574,1.2,"166,000","19,000",5,아디다스,영국,,,,,,,
Writing,IF0202,consortium,링크,,adidas-originals-stan-smith-80s-footwear-white-footwear-white-green-if0202,79.99,1.2,20.83,0,0,87.49,GBP,"₩149,000",site_only,SHOES,, IF0202,1.2,"160,000","19,000",5,아디다스,영국,,,,,,,
Writing,FZ5597,consortium,링크,,adidas-originals-stan-smith-80s-footwear-white-footwear-white-green-fz5597,79.99,1.2,20.83,0,0,87.49,GBP,"₩149,000",site_only,SHOES,, FZ5597,1.2,"160,000","19,000",5,아디다스,영국,,,,,,,
Writing,GM4256,consortium,링크,,adidas-originals-by-human-made-windbreaker-hm-collegiate-navy-gm4256,159.99,1.2,20.83,0,0,154.16,GBP,"₩262,000",site_only,WEAR,아디다스 휴먼메이드 윈드브레이커,아디다스 휴먼메이드 윈드브레이커 GM4256,1.2,"295,000","19,000",5,아디다스,영국,블록코어,가을자켓,콜라보레이션,50000838,아디다스,아우터,네이비
Writing,IG9979,consortium,링크,,adidas-originals-gazelle-indoor-collegiate-green-haze-sky-victory-gold-ig9979,89.99,1.2,20.83,0,0,95.82,GBP,"₩163,000",site_only,SHOES,, IG9979,1.2,"177,000","19,000",5,아디다스,영국,블록코어,가을자켓,콜라보레이션,50000838,아디다스,아우터,네이비
,,,,,,,,,0.245,#DIV/0!,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.245,#DIV/0!,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.245,#DIV/0!,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.245,#DIV/0!,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.245,#DIV/0!,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.245,#DIV/0!,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.245,#DIV/0!,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.245,#DIV/0!,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,https://www.highsnobiety.com/en-kr/shop/product/acne-studios-knit-wool-cardigan-beige/,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,https://caliroots.com/en-de/products/polo-ralph-lauren-gd-oxford-slim-bd-shirt-polo-black,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,https://www.cultizm.com/kor/clothing/tops/sweatshirts/36132/maison-kitsune-dressed-fox-patch-relaxed-jumper-navy,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,https://www.nakedcph.com/en/product/14316/adidas-originals-gazelle-indoor-hq8717,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
consortium,https://releases.consortium.co.uk/releases,,-,링크,109.99,,,,,,,,,,,, - https://releases.consortium.co.uk/releases,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,
